1, 291.6380000, 287.8241162, 284.0601083, 280.3453240, 276.6791197, 273.0608600, 269.4899180, 265.9656748, 262.4875197, 264.5941568, 266.7177011, 268.8582882, 271.0160549, 273.1911392, 275.3836800, 277.5938173, 279.8216925, 275.7274669, 271.6931462, 267.7178538, 263.8007262
2, 291.6380000, 287.3708835, 283.1662015, 279.0230406, 274.9405005, 270.9176943, 275.7676646, 280.7044590, 285.7296321, 290.8447657, 296.0514706, 301.3513859, 306.7461803, 312.2375524, 317.8272310, 323.5169761, 309.7412489, 296.5521082, 283.9245763, 271.8347393, 260.2597016
3, 291.6380000, 287.8241162, 290.1340963, 292.4626156, 294.8098228, 297.1758679, 299.5609021, 301.9650777, 304.3885485, 306.8314692, 309.2939961, 311.7762863, 307.2145154, 302.7194903, 298.2902344, 293.9257853, 289.6251950, 285.3875289, 281.2118665, 277.0973005, 273.0429370
4, 291.6380000, 296.8589053, 302.1732753, 307.5827832, 313.0891322, 318.6940558, 324.3993188, 330.2067175, 336.1180802, 342.1352682, 348.2601759, 333.4308547, 319.2329831, 305.6396733, 292.6251824, 280.1648635, 268.2351195, 272.4259838, 276.6823256, 281.0051678, 285.3955494
5, 291.6380000, 283.8610012, 276.2913886, 268.9236320, 261.7523486, 254.7722990, 247.9783837, 241.3656392, 247.3055058, 253.3915490, 259.6273662, 266.0166431, 272.5631565, 279.2707756, 286.1434654, 293.1852880, 300.4004057, 291.4041457, 282.6773017, 274.2118054, 265.9998301
6, 291.6380000, 282.9041527, 274.4318627, 281.0400403, 287.8073393, 294.7375914, 301.8347204, 309.1027446, 316.5457790, 324.1680379, 331.9738368, 339.9675954, 348.1538395, 342.2538612, 336.4538666, 330.7521615, 325.1470801, 319.6369851, 314.2202668, 308.8953426, 303.6606572
7, 291.6380000, 279.2197165, 267.3302179, 255.9469879, 245.0484690, 234.6140217, 238.2795951, 242.0024390, 245.7834479, 249.6235308, 253.5236106, 257.4846245, 261.5075248, 265.5932782, 269.7428669, 265.1716776, 266.2927079, 267.4184773, 268.5490061, 269.6843142, 270.8244219
8, 291.6380000, 292.8709183, 294.1090489, 295.3524137, 296.6010349, 297.8549348, 291.9813541, 286.2235982, 280.5793829, 275.0464692, 269.6226625, 264.3058110, 259.0938057, 253.9845791, 248.9761044, 244.0663948, 246.8162148, 249.5970161, 252.4091479, 255.2529630, 258.1288186
9, 291.6380000, 296.1945074, 300.8222049, 305.5222048, 310.2956369, 315.1436483, 306.7398334, 298.5601198, 290.5985315, 282.8492518, 275.3066191, 267.9651230, 260.8193997, 267.2380120, 273.8145825, 280.5529985, 287.4572430, 278.8485991, 270.4977632, 277.0112096, 283.6814965
10, 291.6380000, 286.6957656, 281.8372846, 277.0611377, 272.3659296, 267.7502888, 263.2128667, 258.7523379, 254.3673994, 250.0567701, 245.1858389, 240.4097902, 235.7267755, 231.1349826, 233.7240076, 236.3420332, 238.9893842, 241.6663892, 244.3733802, 247.1106932, 249.8786678
